Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
Udacity,US East (N. Virginia),,Amazon EC2,0,345.556,4146.67,USD,"Operating system (Linux), Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 6), Advance EC2 instance (t3.large), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Udacity,US East (N. Virginia),,Amazon EC2,0,353.44,4241.28,USD,"Operating system (Linux), Storage amount (100 GB), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 6), Advance EC2 instance (c5.large), Pricing strategy (EC2 Instance Savings Plans 1 Year  None upfront), Snapshot Frequency (2x Daily), Amount changed per snapshot (3 GB)"
Udacity,US East (N. Virginia),,Amazon RDS for PostgreSQL,0,2102.04,25224.48,USD,"Storage volume (General Purpose SSD (gp2)), Storage amount (100 GB per month), Nodes (1), Instance Type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment Option (Multi-AZ), Pricing Model (OnDemand)"
Udacity,US East (N. Virginia),,Amazon Route 53,0,2300.5,27606.00,USD,"Hosted Zones (1), Basic Checks Within AWS (1000), Number of Elastic Network Interfaces (20)"
Udacity,US East (N. Virginia),,S3 Standard,0,115,1380.00,USD,S3 Standard storage (5000 GB per month)
Udacity,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,
Udacity,US East (N. Virginia),,Amazon Virtual Private Cloud (VPC),0,482.85,5794.20,USD,Number of NAT Gateways (1)
Udacity,US East (N. Virginia),,Application Load Balancer,0,1330.43,15965.16,USD,Number of Application Load Balancers (1)
Udacity,US East (N. Virginia),,Network Load Balancer,0,1330.43,15965.16,USD,"Number of Network Load Balancers (1), Processed bytes per NLB for TCP (200 GB per hour), Average number of new TCP connections ( per second), Processed bytes per NLB for TLS (100 GB per hour)"
,,,,,,
Total Monthly,,,8360.25 USD,,,

Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
